Category,Pattern,Problem,URL
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","959. Regions Cut By Slashes","https://leetcode.com/problems/regions-cut-by-slashes/"
"IV. Graph Traversal Patterns (DFS & BFS)","Pattern 25: Graph - Union-Find (Disjoint Set Union - DSU)","1101. The Earliest Moment When Everyone Become Friends","https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/"
"V. Dynamic Programming (DP) Patterns","Pattern 26: DP - 1D Array (Fibonacci Style)","70. Climbing Stairs","https://leetcode.com/problems/climbing-stairs/"
"V. Dynamic Programming (DP) Patterns","Pattern 26: DP - 1D Array (Fibonacci Style)","91. Decode Ways","https://leetcode.com/problems/decode-ways/"
"V. Dynamic Programming (DP) Patterns","Pattern 26: DP - 1D Array (Fibonacci Style)","198. House Robber","https://leetcode.com/problems/house-robber/"
"V. Dynamic Programming (DP) Patterns","Pattern 26: DP - 1D Array (Fibonacci Style)","213. House Robber II","https://leetcode.com/problems/house-robber-ii/"
"V. Dynamic Programming (DP) Patterns","Pattern 26: DP - 1D Array (Fibonacci Style)","337. House Robber III","https://leetcode.com/problems/house-robber-iii/"
"V. Dynamic Programming (DP) Patterns","Pattern 26: DP - 1D Array (Fibonacci Style)","509. Fibonacci Number","https://leetcode.com/problems/fibonacci-number/"
"V. Dynamic Programming (DP) Patterns","Pattern 26: DP - 1D Array (Fibonacci Style)","740. Delete and Earn","https://leetcode.com/problems/delete-and-earn/"
"V. Dynamic Programming (DP) Patterns","Pattern 26: DP - 1D Array (Fibonacci Style)","746. Min Cost Climbing Stairs","https://leetcode.com/problems/min-cost-climbing-stairs/"
"V. Dynamic Programming (DP) Patterns","Pattern 27: DP - 1D Array (Kadane's Algorithm for Max/Min Subarray)","53. Maximum Subarray","https://leetcode.com/problems/maximum-subarray/"
"V. Dynamic Programming (DP) Patterns","Pattern 27: DP - 1D Array (Kadane's Algorithm for Max/Min Subarray)","918. Maximum Sum Circular Subarray","https://leetcode.com/problems/maximum-sum-circular-subarray/"
"V. Dynamic Programming (DP) Patterns","Pattern 27: DP - 1D Array (Kadane's Algorithm for Max/Min Subarray)","2321. Maximum Score Of Spliced Array","https://leetcode.com/problems/maximum-score-of-spliced-array/"
"V. Dynamic Programming (DP) Patterns","Pattern 27: DP - 1D Array (Kadane's Algorithm for Max/Min Subarray)","1749. Maximum Absolute Sum of Any Subarray","https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/"
"V. Dynamic Programming (DP) Patterns","Pattern 28: DP - 1D Array (Coin Change / Unbounded Knapsack Style)","322. Coin Change","https://leetcode.com/problems/coin-change/"
"V. Dynamic Programming (DP) Patterns","Pattern 28: DP - 1D Array (Coin Change / Unbounded Knapsack Style)","377. Combination Sum IV","https://leetcode.com/problems/combination-sum-iv/"
"V. Dynamic Programming (DP) Patterns","Pattern 28: DP - 1D Array (Coin Change / Unbounded Knapsack Style)","518. Coin Change II","https://leetcode.com/problems/coin-change-ii/"
"V. Dynamic Programming (DP) Patterns","Pattern 29: DP - 1D Array (0/1 Knapsack Subset Sum Style)","416. Partition Equal Subset Sum","https://leetcode.com/problems/partition-equal-subset-sum/"
"V. Dynamic Programming (DP) Patterns","Pattern 29: DP - 1D Array (0/1 Knapsack Subset Sum Style)","494. Target Sum","https://leetcode.com/problems/target-sum/"
"V. Dynamic Programming (DP) Patterns","Pattern 30: DP - 1D Array (Word Break Style)","139. Word Break","https://leetcode.com/problems/word-break/"
"V. Dynamic Programming (DP) Patterns","Pattern 30: DP - 1D Array (Word Break Style)","140. Word Break II","https://leetcode.com/problems/word-break-ii/"
"V. Dynamic Programming (DP) Patterns","Pattern 31: DP - 2D Array (Longest Common Subsequence - LCS)","583. Delete Operation for Two Strings","https://leetcode.com/problems/delete-operation-for-two-strings/"
"V. Dynamic Programming (DP) Patterns","Pattern 31: DP - 2D Array (Longest Common Subsequence - LCS)","1143. Longest Common Subsequence","https://leetcode.com/problems/longest-common-subsequence/"
"V. Dynamic Programming (DP) Patterns","Pattern 32: DP - 2D Array (Edit Distance / Levenshtein Distance)","72. Edit Distance","https://leetcode.com/problems/edit-distance/"
"V. Dynamic Programming (DP) Patterns","Pattern 32: DP - 2D Array (Edit Distance / Levenshtein Distance)","583. Delete Operation for Two Strings","https://leetcode.com/problems/delete-operation-for-two-strings/"
"V. Dynamic Programming (DP) Patterns","Pattern 32: DP - 2D Array (Edit Distance / Levenshtein Distance)","712. Minimum ASCII Delete Sum for Two Strings","https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/"
"V. Dynamic Programming (DP) Patterns","Pattern 33: DP - 2D Array (Unique Paths on Grid)","62. Unique Paths","https://leetcode.com/problems/unique-paths/"
"V. Dynamic Programming (DP) Patterns","Pattern 33: DP - 2D Array (Unique Paths on Grid)","63. Unique Paths II","https://leetcode.com/problems/unique-paths-ii/"
"V. Dynamic Programming (DP) Patterns","Pattern 33: DP - 2D Array (Unique Paths on Grid)","64. Minimum Path Sum","https://leetcode.com/problems/minimum-path-sum/"
"V. Dynamic Programming (DP) Patterns","Pattern 33: DP - 2D Array (Unique Paths on Grid)","120. Triangle","https://leetcode.com/problems/triangle/"
"V. Dynamic Programming (DP) Patterns","Pattern 33: DP - 2D Array (Unique Paths on Grid)","221. Maximal Square","https://leetcode.com/problems/maximal-square/"
"V. Dynamic Programming (DP) Patterns","Pattern 33: DP - 2D Array (Unique Paths on Grid)","931. Minimum Falling Path Sum","https://leetcode.com/problems/minimum-falling-path-sum/"
"V. Dynamic Programming (DP) Patterns","Pattern 33: DP - 2D Array (Unique Paths on Grid)","1277. Count Square Submatrices with All Ones","https://leetcode.com/problems/count-square-submatrices-with-all-ones/"
"V. Dynamic Programming (DP) Patterns","Pattern 34: DP - Interval DP","312. Burst Balloons","https://leetcode.com/problems/burst-balloons/"
"V. Dynamic Programming (DP) Patterns","Pattern 34: DP - Interval DP","546. Remove Boxes","https://leetcode.com/problems/remove-boxes/"
"V. Dynamic Programming (DP) Patterns","Pattern 35: DP - Catalan Numbers","95. Unique Binary Search Trees II","https://leetcode.com/problems/unique-binary-search-trees-ii/"
"V. Dynamic Programming (DP) Patterns","Pattern 35: DP - Catalan Numbers","96. Unique Binary Search Trees","https://leetcode.com/problems/unique-binary-search-trees/"
"V. Dynamic Programming (DP) Patterns","Pattern 35: DP - Catalan Numbers","241. Different Ways to Add Parentheses","https://leetcode.com/problems/different-ways-to-add-parentheses/"
"V. Dynamic Programming (DP) Patterns","Pattern 36: DP - Longest Increasing Subsequence (LIS)","300. Longest Increasing Subsequence","https://leetcode.com/problems/longest-increasing-subsequence/"
"V. Dynamic Programming (DP) Patterns","Pattern 36: DP - Longest Increasing Subsequence (LIS)","354. Russian Doll Envelopes","https://leetcode.com/problems/russian-doll-envelopes/"
"V. Dynamic Programming (DP) Patterns","Pattern 36: DP - Longest Increasing Subsequence (LIS)","1671. Minimum Number of Removals to Make Mountain Array","https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/"
"V. Dynamic Programming (DP) Patterns","Pattern 36: DP - Longest Increasing Subsequence (LIS)","2407. Longest Increasing Subsequence II","https://leetcode.com/problems/longest-increasing-subsequence-ii/"
"V. Dynamic Programming (DP) Patterns","Pattern 37: DP - Stock problems","121. Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock/"
"V. Dynamic Programming (DP) Patterns","Pattern 37: DP - Stock problems","122. Best Time to Buy and Sell Stock II","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/"
"V. Dynamic Programming (DP) Patterns","Pattern 37: DP - Stock problems","123. Best Time to Buy and Sell Stock III","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/"
"V. Dynamic Programming (DP) Patterns","Pattern 37: DP - Stock problems","188.Best Time to Buy and Sell Stock IV","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/"
"V. Dynamic Programming (DP) Patterns","Pattern 37: DP - Stock problems","309. Best Time to Buy and Sell Stock with Cooldown","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/"
"VI. Heap (Priority Queue) Patterns","Pattern 37: Heap - Top K Elements (Selection/Frequency)","215. Kth Largest Element in an Array","https://leetcode.com/problems/kth-largest-element-in-an-array/"
"VI. Heap (Priority Queue) Patterns","Pattern 37: Heap - Top K Elements (Selection/Frequency)","347. Top K Frequent Elements","https://leetcode.com/problems/top-k-frequent-elements/"
"VI. Heap (Priority Queue) Patterns","Pattern 37: Heap - Top K Elements (Selection/Frequency)","451. Sort Characters By Frequency","https://leetcode.com/problems/sort-characters-by-frequency/"
"VI. Heap (Priority Queue) Patterns","Pattern 37: Heap - Top K Elements (Selection/Frequency)","506. Relative Ranks","https://leetcode.com/problems/relative-ranks/"
"VI. Heap (Priority Queue) Patterns","Pattern 37: Heap - Top K Elements (Selection/Frequency)","703. Kth Largest Element in a Stream","https://leetcode.com/problems/kth-largest-element-in-a-stream/"
"VI. Heap (Priority Queue) Patterns","Pattern 37: Heap - Top K Elements (Selection/Frequency)","973. K Closest Points to Origin","https://leetcode.com/problems/k-closest-points-to-origin/"
"VI. Heap (Priority Queue) Patterns","Pattern 37: Heap - Top K Elements (Selection/Frequency)","1046. Last Stone Weight","https://leetcode.com/problems/last-stone-weight/"
"VI. Heap (Priority Queue) Patterns","Pattern 37: Heap - Top K Elements (Selection/Frequency)","2558. Take Gifts From the Richest Pile","https://leetcode.com/problems/take-gifts-from-the-richest-pile/"
"VI. Heap (Priority Queue) Patterns","Pattern 38: Heap - Two Heaps for Median Finding","295. Find Median from Data Stream","https://leetcode.com/problems/find-median-from-data-stream/"
"VI. Heap (Priority Queue) Patterns","Pattern 38: Heap - Two Heaps for Median Finding","1825. Finding MK Average","https://leetcode.com/problems/finding-mk-average/"
"VI. Heap (Priority Queue) Patterns","Pattern 39: Heap - K-way Merge","23. Merge k Sorted Lists","https://leetcode.com/problems/merge-k-sorted-lists/"
"VI. Heap (Priority Queue) Patterns","Pattern 39: Heap - K-way Merge","373. Find K Pairs with Smallest Sums","https://leetcode.com/problems/find-k-pairs-with-smallest-sums/"
"VI. Heap (Priority Queue) Patterns","Pattern 39: Heap - K-way Merge","378. Kth Smallest Element in a Sorted Matrix","https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/"
"VI. Heap (Priority Queue) Patterns","Pattern 39: Heap - K-way Merge","632. Smallest Range Covering Elements from K Lists","https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/"
"VI. Heap (Priority Queue) Patterns","Pattern 40: Heap - Scheduling / Minimum Cost (Greedy with Priority Queue)","253. Meeting Rooms II","https://leetcode.com/problems/meeting-rooms-ii/"
"VI. Heap (Priority Queue) Patterns","Pattern 40: Heap - Scheduling / Minimum Cost (Greedy with Priority Queue)","767. Reorganize String","https://leetcode.com/problems/reorganize-string/"
"VI. Heap (Priority Queue) Patterns","Pattern 40: Heap - Scheduling / Minimum Cost (Greedy with Priority Queue)","857. Minimum Cost to Hire K Workers","https://leetcode.com/problems/minimum-cost-to-hire-k-workers/"
"VI. Heap (Priority Queue) Patterns","Pattern 40: Heap - Scheduling / Minimum Cost (Greedy with Priority Queue)","1642. Furthest Building You Can Reach","https://leetcode.com/problems/furthest-building-you-can-reach/"
"VI. Heap (Priority Queue) Patterns","Pattern 40: Heap - Scheduling / Minimum Cost (Greedy with Priority Queue)","1792. Maximum Average Pass Ratio","https://leetcode.com/problems/maximum-average-pass-ratio/"
"VI. Heap (Priority Queue) Patterns","Pattern 40: Heap - Scheduling / Minimum Cost (Greedy with Priority Queue)","1834. Single-Threaded CPU","https://leetcode.com/problems/single-threaded-cpu/"
"VI. Heap (Priority Queue) Patterns","Pattern 40: Heap - Scheduling / Minimum Cost (Greedy with Priority Queue)","1942. The Number of the Smallest Unoccupied Chair","https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair/"
"VI. Heap (Priority Queue) Patterns","Pattern 40: Heap - Scheduling / Minimum Cost (Greedy with Priority Queue)","2402. Meeting Rooms III","https://leetcode.com/problems/meeting-rooms-iii/"
"VII. Backtracking Patterns","Pattern 41: Backtracking - Subsets (Include/Exclude)","17. Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number/"
"VII. Backtracking Patterns","Pattern 41: Backtracking - Subsets (Include/Exclude)","77. Combinations","https://leetcode.com/problems/combinations/"
"VII. Backtracking Patterns","Pattern 41: Backtracking - Subsets (Include/Exclude)","78. Subsets","https://leetcode.com/problems/subsets/"
"VII. Backtracking Patterns","Pattern 41: Backtracking - Subsets (Include/Exclude)","90. Subsets II","https://leetcode.com/problems/subsets-ii/"
"VII. Backtracking Patterns","Pattern 42: Backtracking - Permutations","31. Next Permutation","https://leetcode.com/problems/next-permutation/"
"VII. Backtracking Patterns","Pattern 42: Backtracking - Permutations","46. Permutations","https://leetcode.com/problems/permutations/"
"VII. Backtracking Patterns","Pattern 42: Backtracking - Permutations","60. Permutation Sequence","https://leetcode.com/problems/permutation-sequence/"
"VII. Backtracking Patterns","Pattern 43: Backtracking - Combination Sum","39. Combination Sum","https://leetcode.com/problems/combination-sum/"
"VII. Backtracking Patterns","Pattern 43: Backtracking - Combination Sum","40. Combination Sum II","https://leetcode.com/problems/combination-sum-ii/"
"VII. Backtracking Patterns","Pattern 44: Backtracking - Parentheses Generation","22. Generate Parentheses","https://leetcode.com/problems/generate-parentheses/"
"VII. Backtracking Patterns","Pattern 44: Backtracking - Parentheses Generation","301. Remove Invalid Parentheses","https://leetcode.com/problems/remove-invalid-parentheses/"
"VII. Backtracking Patterns","Pattern 45: Backtracking - Word Search / Path Finding in Grid","79. Word Search","https://leetcode.com/problems/word-search/"
"VII. Backtracking Patterns","Pattern 45: Backtracking - Word Search / Path Finding in Grid","212. Word Search II","https://leetcode.com/problems/word-search-ii/"
"VII. Backtracking Patterns","Pattern 45: Backtracking - Word Search / Path Finding in Grid","2018. Check if Word Can Be Placed In Crossword","https://leetcode.com/problems/check-if-word-can-be-placed-in-crossword/"
"VII. Backtracking Patterns","Pattern 46: Backtracking - N-Queens / Constraint Satisfaction","37. Sudoku Solver","https://leetcode.com/problems/sudoku-solver/"
"VII. Backtracking Patterns","Pattern 46: Backtracking - N-Queens / Constraint Satisfaction","51. N-Queens","https://leetcode.com/problems/n-queens/"
"VII. Backtracking Patterns","Pattern 47: Backtracking - Palindrome Partitioning","131. Palindrome Partitioning","https://leetcode.com/problems/palindrome-partitioning/"
"VII. Backtracking Patterns","Pattern 47: Backtracking - Palindrome Partitioning","132. Palindrome Partitioning II","https://leetcode.com/problems/palindrome-partitioning-ii/"
"VII. Backtracking Patterns","Pattern 47: Backtracking - Palindrome Partitioning","1457. Pseudo-Palindromic Paths in a Binary Tree","https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/"
"VIII. Greedy Patterns","Pattern 48: Greedy - Interval Merging/Scheduling","56. Merge Intervals","https://leetcode.com/problems/merge-intervals/"
"VIII. Greedy Patterns","Pattern 48: Greedy - Interval Merging/Scheduling","57. Insert Interval","https://leetcode.com/problems/insert-interval/"
"VIII. Greedy Patterns","Pattern 48: Greedy - Interval Merging/Scheduling","759. Employee Free Time","https://leetcode.com/problems/employee-free-time/"
"VIII. Greedy Patterns","Pattern 48: Greedy - Interval Merging/Scheduling","986. Interval List Intersections","https://leetcode.com/problems/interval-list-intersections/"
"VIII. Greedy Patterns","Pattern 48: Greedy - Interval Merging/Scheduling","2406. Divide Intervals Into Minimum Number of Groups","https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups/"
"VIII. Greedy Patterns","Pattern 49: Greedy - Jump Game Reachability/Minimization","45. Jump Game II","https://leetcode.com/problems/jump-game-ii/"
"VIII. Greedy Patterns","Pattern 49: Greedy - Jump Game Reachability/Minimization","55. Jump Game","https://leetcode.com/problems/jump-game/"
"VIII. Greedy Patterns","Pattern 50: Greedy - Buy/Sell Stock","121. Best Time to Buy and Sell Stock","https://leetcode.com/problems/best-time-to-buy-and-sell-stock/"
"VIII. Greedy Patterns","Pattern 50: Greedy - Buy/Sell Stock","122. Best Time to Buy and Sell Stock II","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/"
"VIII. Greedy Patterns","Pattern 51: Greedy - Gas Station Circuit","134. Gas Station","https://leetcode.com/problems/gas-station/"
"VIII. Greedy Patterns","Pattern 52: Greedy - Task Scheduling (Frequency Based)","621. Task Scheduler","https://leetcode.com/problems/task-scheduler/"
"IX. Binary Search Patterns","Pattern 53: Binary Search - On Sorted Array/List","35. Search Insert Position","https://leetcode.com/problems/search-insert-position/"
"IX. Binary Search Patterns","Pattern 53: Binary Search - On Sorted Array/List","69. Sqrt(x)","https://leetcode.com/problems/sqrtx/"
"IX. Binary Search Patterns","Pattern 53: Binary Search - On Sorted Array/List","74. Search a 2D Matrix","https://leetcode.com/problems/search-a-2d-matrix/"
"IX. Binary Search Patterns","Pattern 53: Binary Search - On Sorted Array/List","278. First Bad Version","https://leetcode.com/problems/first-bad-version/"
"IX. Binary Search Patterns","Pattern 53: Binary Search - On Sorted Array/List","374. Guess Number Higher or Lower","https://leetcode.com/problems/guess-number-higher-or-lower/"
"IX. Binary Search Patterns","Pattern 53: Binary Search - On Sorted Array/List","540. Single Element in a Sorted Array","https://leetcode.com/problems/single-element-in-a-sorted-array/"
"IX. Binary Search Patterns","Pattern 53: Binary Search - On Sorted Array/List","704. Binary Search","https://leetcode.com/problems/binary-search/"
"IX. Binary Search Patterns","Pattern 53: Binary Search - On Sorted Array/List","1539. Kth Missing Positive Number","https://leetcode.com/problems/kth-missing-positive-number/"
"IX. Binary Search Patterns","Pattern 54: Binary Search - Find Min/Max in Rotated Sorted Array","33. Search in Rotated Sorted Array","https://leetcode.com/problems/search-in-rotated-sorted-array/"
"IX. Binary Search Patterns","Pattern 54: Binary Search - Find Min/Max in Rotated Sorted Array","81. Search in Rotated Sorted Array II","https://leetcode.com/problems/search-in-rotated-sorted-array-ii/"
"IX. Binary Search Patterns","Pattern 54: Binary Search - Find Min/Max in Rotated Sorted Array","153. Find Minimum in Rotated Sorted Array","https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/"
"IX. Binary Search Patterns","Pattern 54: Binary Search - Find Min/Max in Rotated Sorted Array","162. Find Peak Element","https://leetcode.com/problems/find-peak-element/"
"IX. Binary Search Patterns","Pattern 54: Binary Search - Find Min/Max in Rotated Sorted Array","852. Peak Index in a Mountain Array","https://leetcode.com/problems/peak-index-in-a-mountain-array/"
"IX. Binary Search Patterns","Pattern 54: Binary Search - Find Min/Max in Rotated Sorted Array","1095. Find in Mountain Array","https://leetcode.com/problems/find-in-mountain-array/"
"IX. Binary Search Patterns","Pattern 55: Binary Search - On Answer / Condition Function","410. Split Array Largest Sum","https://leetcode.com/problems/split-array-largest-sum/"
"IX. Binary Search Patterns","Pattern 55: Binary Search - On Answer / Condition Function","774. Minimize Max Distance to Gas Station","https://leetcode.com/problems/minimize-max-distance-to-gas-station/"
"IX. Binary Search Patterns","Pattern 55: Binary Search - On Answer / Condition Function","875. Koko Eating Bananas","https://leetcode.com/problems/koko-eating-bananas/"
"IX. Binary Search Patterns","Pattern 55: Binary Search - On Answer / Condition Function","1011. Capacity To Ship Packages Within D Days","https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/"
"IX. Binary Search Patterns","Pattern 55: Binary Search - On Answer / Condition Function","1482. Minimum Number of Days to Make m Bouquets","https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/"
"IX. Binary Search Patterns","Pattern 55: Binary Search - On Answer / Condition Function","1760. Minimum Limit of Balls in a Bag","https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag/"
"IX. Binary Search Patterns","Pattern 55: Binary Search - On Answer / Condition Function","2064. Minimized Maximum of Products Distributed to Any Store","https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store/"
"IX. Binary Search Patterns","Pattern 55: Binary Search - On Answer / Condition Function","2226. Maximum Candies Allocated to K Children","https://leetcode.com/problems/maximum-candies-allocated-to-k-children/"
"IX. Binary Search Patterns","Pattern 56: Binary Search - Find First/Last Occurrence","34. Find First and Last Position of Element in Sorted Array","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/"
"IX. Binary Search Patterns","Pattern 56: Binary Search - Find First/Last Occurrence","658. Find K Closest Elements","https://leetcode.com/problems/find-k-closest-elements/"
"IX. Binary Search Patterns","Pattern 57: Binary Search - Median of Two Sorted Arrays","4. Median of Two Sorted Arrays","https://leetcode.com/problems/median-of-two-sorted-arrays/"
"X. Stack Patterns","Pattern 58: Stack - Valid Parentheses Matching","20. Valid Parentheses","https://leetcode.com/problems/valid-parentheses/"
"X. Stack Patterns","Pattern 58: Stack - Valid Parentheses Matching","32. Longest Valid Parentheses","https://leetcode.com/problems/longest-valid-parentheses/"
"X. Stack Patterns","Pattern 58: Stack - Valid Parentheses Matching","921. Minimum Add to Make Parentheses Valid","https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/"
"X. Stack Patterns","Pattern 58: Stack - Valid Parentheses Matching","1249. Minimum Remove to Make Valid Parentheses","https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/"
"X. Stack Patterns","Pattern 58: Stack - Valid Parentheses Matching","1963. Minimum Number of Swaps to Make the String Balanced","https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/"
"X. Stack Patterns","Pattern 59: Stack - Monotonic Stack","402. Remove K Digits","https://leetcode.com/problems/remove-k-digits/"
"X. Stack Patterns","Pattern 59: Stack - Monotonic Stack","496. Next Greater Element I","https://leetcode.com/problems/next-greater-element-i/"
"X. Stack Patterns","Pattern 59: Stack - Monotonic Stack","503. Next Greater Element II","https://leetcode.com/problems/next-greater-element-ii/"
"X. Stack Patterns","Pattern 59: Stack - Monotonic Stack","739. Daily Temperatures","https://leetcode.com/problems/daily-temperatures/"
"X. Stack Patterns","Pattern 59: Stack - Monotonic Stack","901. Online Stock Span","https://leetcode.com/problems/online-stock-span/"
"X. Stack Patterns","Pattern 59: Stack - Monotonic Stack","907. Sum of Subarray Minimums","https://leetcode.com/problems/sum-of-subarray-minimums/"
"X. Stack Patterns","Pattern 59: Stack - Monotonic Stack","962. Maximum Width Ramp","https://leetcode.com/problems/maximum-width-ramp/"
"X. Stack Patterns","Pattern 59: Stack - Monotonic Stack","1475. Final Prices With a Special Discount in a Shop","https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop/"
"X. Stack Patterns","Pattern 59: Stack - Monotonic Stack","1673. Find the Most Competitive Subsequence","https://leetcode.com/problems/find-the-most-competitive-subsequence/"
"X. Stack Patterns","Pattern 60: Stack - Expression Evaluation (RPN/Infix)","150. Evaluate Reverse Polish Notation","https://leetcode.com/problems/evaluate-reverse-polish-notation/"
"X. Stack Patterns","Pattern 60: Stack - Expression Evaluation (RPN/Infix)","224. Basic Calculator","https://leetcode.com/problems/basic-calculator/"
"X. Stack Patterns","Pattern 60: Stack - Expression Evaluation (RPN/Infix)","227. Basic Calculator II","https://leetcode.com/problems/basic-calculator-ii/"
"X. Stack Patterns","Pattern 60: Stack - Expression Evaluation (RPN/Infix)","772. Basic Calculator III","https://leetcode.com/problems/basic-calculator-iii/"
"X. Stack Patterns","Pattern 61: Stack - Simulation / Backtracking Helper","71. Simplify Path","https://leetcode.com/problems/simplify-path/"
"X. Stack Patterns","Pattern 61: Stack - Simulation / Backtracking Helper","394. Decode String","https://leetcode.com/problems/decode-string/"
"X. Stack Patterns","Pattern 61: Stack - Simulation / Backtracking Helper","735. Asteroid Collision","https://leetcode.com/problems/asteroid-collision/"
"X. Stack Patterns","Pattern 62: Stack - Min Stack Design","155. Min Stack","https://leetcode.com/problems/min-stack/"
"X. Stack Patterns","Pattern 63: Stack - Largest Rectangle in Histogram","84. Largest Rectangle in Histogram","https://leetcode.com/problems/largest-rectangle-in-histogram/"
"X. Stack Patterns","Pattern 63: Stack - Largest Rectangle in Histogram","85. Maximal Rectangle","https://leetcode.com/problems/maximal-rectangle/"
"XI. Bit Manipulation Patterns","Pattern 65: Bitwise XOR - Finding Single/Missing Number","136. Single Number","https://leetcode.com/problems/single-number/"
"XI. Bit Manipulation Patterns","Pattern 65: Bitwise XOR - Finding Single/Missing Number","137. Single Number II","https://leetcode.com/problems/single-number-ii/"
"XI. Bit Manipulation Patterns","Pattern 65: Bitwise XOR - Finding Single/Missing Number","268. Missing Number","https://leetcode.com/problems/missing-number/"
"XI. Bit Manipulation Patterns","Pattern 65: Bitwise XOR - Finding Single/Missing Number","389. Find the Difference","https://leetcode.com/problems/find-the-difference/"
"XI. Bit Manipulation Patterns","Pattern 66: Bitwise AND - Counting Set Bits (Hamming Weight)","191. Number of 1 Bits","https://leetcode.com/problems/number-of-1-bits/"
"XI. Bit Manipulation Patterns","Pattern 67: Bitwise DP - Counting Bits Optimization","338. Counting Bits","https://leetcode.com/problems/counting-bits/"
"XI. Bit Manipulation Patterns","Pattern 68: Bitwise Operations - Power of Two/Four Check","231. Power of Two","https://leetcode.com/problems/power-of-two/"
"XI. Bit Manipulation Patterns","Pattern 68: Bitwise Operations - Power of Two/Four Check","342. Power of Four","https://leetcode.com/problems/power-of-four/"
"XII. Linked List Manipulation Patterns","Pattern 69: Linked List - In-place Reversal","83. Remove Duplicates from Sorted List","https://leetcode.com/problems/remove-duplicates-from-sorted-list/"
"XII. Linked List Manipulation Patterns","Pattern 69: Linked List - In-place Reversal","92. Reverse Linked List II","https://leetcode.com/problems/reverse-linked-list-ii/"
"XII. Linked List Manipulation Patterns","Pattern 69: Linked List - In-place Reversal","206. Reverse Linked List","https://leetcode.com/problems/reverse-linked-list/"
"XII. Linked List Manipulation Patterns","Pattern 69: Linked List - In-place Reversal","25. Reverse Nodes in k-Group","https://leetcode.com/problems/reverse-nodes-in-k-group/"
"XII. Linked List Manipulation Patterns","Pattern 69: Linked List - In-place Reversal","234. Palindrome Linked List","https://leetcode.com/problems/palindrome-linked-list/"
"XII. Linked List Manipulation Patterns","Pattern 69: Linked List - In-place Reversal","82. Remove Duplicates from Sorted List II","https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/"
"XII. Linked List Manipulation Patterns","Pattern 70: Linked List - Merging Two Sorted Lists","21. Merge Two Sorted Lists","https://leetcode.com/problems/merge-two-sorted-lists/"
"XII. Linked List Manipulation Patterns","Pattern 71: Linked List - Addition of Numbers","2. Add Two Numbers","https://leetcode.com/problems/add-two-numbers/"
"XII. Linked List Manipulation Patterns","Pattern 71: Linked List - Addition of Numbers","369. Plus One Linked List","https://leetcode.com/problems/plus-one-linked-list/"
"XII. Linked List Manipulation Patterns","Pattern 72: Linked List - Intersection Detection","160. Intersection of Two Linked Lists","https://leetcode.com/problems/intersection-of-two-linked-lists/"
"XII. Linked List Manipulation Patterns","Pattern 73: Linked List - Reordering / Partitioning","24. Swap Nodes in Pairs","https://leetcode.com/problems/swap-nodes-in-pairs/"
"XII. Linked List Manipulation Patterns","Pattern 73: Linked List - Reordering / Partitioning","61. Rotate List","https://leetcode.com/problems/rotate-list/"
"XII. Linked List Manipulation Patterns","Pattern 73: Linked List - Reordering / Partitioning","86. Partition List","https://leetcode.com/problems/partition-list/"
"XII. Linked List Manipulation Patterns","Pattern 73: Linked List - Reordering / Partitioning","143. Reorder List","https://leetcode.com/problems/reorder-list/"
"XII. Linked List Manipulation Patterns","Pattern 73: Linked List - Reordering / Partitioning","328. Odd Even Linked List","https://leetcode.com/problems/odd-even-linked-list/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 74: Array/Matrix - In-place Rotation","48. Rotate Image","https://leetcode.com/problems/rotate-image/"
